Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Asia oriental y el Pacífico;EAS;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europa y Asia central (excluido altos ingresos);ECA;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europa y Asia central;ECS;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;ECU;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62616;52959;40335;37637;;41195;28174;15858;36236;;;;29477;30182;;37387;39308;37471;;;;29093;;57889;;
Egipto, República Árabe de;EGY;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;607747;600412;611184;;;;;692888;;;;;;;;;;;;;;;;501117;;;456909;;670572;637217;646311;640552;616125;610767;;;;;;;;774849;;839384;;716522;694217;571956;449810;345394;254318;;359372;289060;
Zona del Euro;EMU;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eritrea;ERI;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67701;;64764;65732;67450;70781;;61120;49658;46551;36317;27356;28519;30489;38931;54526;64628;70530;74774;64455;57573;62723;63128;67271;;80226;80211;;;;83559;;;
España;ESP;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6160;13180;26713;29846;34865;40594;45132;49507;48404;45540;40706;33549;29273;28577;27232;17903;;
Estonia;EST;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1007;1069;1103;1099;1138;1101;1051;1005;841;1144;;
Etiopía;ETH;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;2215533;2284666;2447526;;;;;3289477;3266206;3178405;;3142914;3222584;3204293;3148015;3187617;3293328;3286991;2715555;2492979;2164474;1783563;1893344;2082649;2205232;1814076;;1448757;1553456;;627982;;;;2109059;2045724;2014038;1911317;
