Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Ecuador;ECU;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52387;40840;29640;26297;;31044;19477;5620;13363;;;;7290;8711;;14668;14181;10881;;;;1703;;28201;;
Egipto, República Árabe de;EGY;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;1301494;1318069;1342346;;;;;1381262;;;;;;;;;;;;;;;;969751;;;836191;;825375;752682;720916;678753;640912;605597;;;;;;;;787819;;890302;;746588;703221;533675;408913;306837;225766;;331741;270649;
Zona del Euro;EMU;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eritrea;ERI;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72889;;70919;72307;74262;78313;;73425;63860;61912;55345;48233;50783;52210;58116;70472;80725;85335;89624;82368;77475;80188;80578;83342;;94112;94591;;;;95607;;;
España;ESP;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8225;10003;21510;24104;29246;34606;36981;39946;38638;35358;32201;27025;23953;24304;23033;17903;;
Estonia;EST;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;926;966;988;1025;1004;966;972;907;772;1120;;
Etiopía;ETH;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;2551166;2629569;2727826;;;;;3481031;3561735;3600712;;3691796;3734806;3685683;3601254;3621117;3695738;3591861;2976621;2685712;2367662;2012157;2044283;2257939;2363325;2019759;;1784252;1927172;;1199649;;;;2575384;2474048;2409915;2325465;
Unión Europea;EUU;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frágiles y situaciones de conflicto afectados;FCS;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finlandia;FIN;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2066;2258;2275;2170;2117;1947;2013;2033;2005;2164;2116;2078;2161;2192;2179;2733;2826;3087;3028;3480;2973;2534;3689;2800;;
