;Table 2. Human Development Index trends, 1990-2023;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;HDI: Human Development Index (HDI);;;;;;;;;;;;;;;;Change in HDI rank;;Average annual HDI growth;;;;;;;
;;Value;;;;;;;;;;;;;;;;;;(%);;;;;;;
HDI rank;Country;1990;;2000;;2010;;2015;;2020;;2021;;2022;;2023;; 2015-2023;a;1990-2000;;2000-2010;;2010-2023;;1990-2023;
73;Mauritius;0,627;;0,683;;0,755;;0,792;;0,795;;0,789;;0,794;;0,806;;0;;0,86;;1,01;;0,50;;0,76;
74;Bosnia and Herzegovina;..;;0,674;;0,725;;0,769;;0,783;;0,783;;0,799;;0,804;;7;;..;;0,73;;0,80;;..;
;High human development;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Iran (Islamic Republic of);0,626;;0,710;;0,778;;0,788;;0,775;;0,777;;0,793;;0,799;;-1;;1,27;;0,92;;0,21;;0,74;
76;Saint Vincent and the Grenadines;..;;0,700;;0,746;;0,765;;0,781;;0,781;;0,794;;0,798;;11;;..;;0,64;;0,52;;..;
76;Thailand;0,584;;0,657;;0,742;;0,788;;0,798;;0,800;;0,792;;0,798;;-2;;1,18;;1,22;;0,56;;0,95;
78;China;0,491;;0,598;;0,710;;0,750;;0,786;;0,794;;0,796;;0,797;;16;;1,99;;1,73;;0,89;;1,48;
79;Peru;0,625;;0,682;;0,731;;0,768;;0,769;;0,764;;0,790;;0,794;;5;;0,88;;0,70;;0,64;;0,73;
80;Grenada;..;;..;;0,771;;0,782;;0,782;;0,782;;0,789;;0,791;;-4;;..;;..;;0,20;;..;
81;Azerbaijan;..;;0,652;;0,744;;0,771;;0,757;;0,765;;0,784;;0,789;;-1;;..;;1,33;;0,45;;..;
81;Mexico;0,668;;0,712;;0,751;;0,773;;0,763;;0,761;;0,783;;0,789;;-2;;0,64;;0,53;;0,38;;0,51;
83;Colombia;0,623;;0,679;;0,741;;0,767;;0,764;;0,762;;0,782;;0,788;;3;;0,86;;0,88;;0,47;;0,71;
84;Brazil;0,641;;0,690;;0,748;;0,764;;0,770;;0,768;;0,780;;0,786;;4;;0,74;;0,81;;0,38;;0,62;
84;Palau;..;;0,736;;0,779;;0,802;;0,799;;0,789;;0,786;;0,786;;-17;;..;;0,57;;0,07;;..;
86;Moldova (Republic of);..;;..;;0,739;;0,759;;0,770;;0,773;;0,784;;0,785;;5;;..;;..;;0,47;;..;
87;Ukraine;0,750;;0,716;;0,782;;0,778;;0,783;;0,772;;0,772;;0,779;;-10;;-0,46;;0,89;;-0,03;;0,12;
88;Ecuador;0,646;;0,683;;0,737;;0,764;;0,740;;0,753;;0,773;;0,777;;0;;0,56;;0,76;;0,41;;0,56;
89;Dominican Republic;0,589;;0,658;;0,715;;0,747;;0,767;;0,762;;0,778;;0,776;;6;;1,11;;0,83;;0,63;;0,84;
89;Guyana;0,494;;0,567;;0,647;;0,683;;0,722;;0,713;;0,763;;0,776;;33;;1,39;;1,33;;1,41;;1,38;
89;Sri Lanka;0,638;;0,702;;0,748;;0,769;;0,780;;0,777;;0,777;;0,776;;-8;;0,96;;0,64;;0,28;;0,60;
92;Tonga;0,641;;0,688;;0,724;;0,743;;0,765;;0,763;;0,764;;0,769;;4;;0,71;;0,51;;0,46;;0,55;
93;Maldives;..;;0,639;;0,689;;0,725;;0,730;;0,745;;0,764;;0,766;;10;;..;;0,76;;0,82;;..;
93;Viet Nam;0,499;;0,604;;0,686;;0,717;;0,755;;0,754;;0,764;;0,766;;16;;1,93;;1,28;;0,85;;1,31;
95;Turkmenistan;..;;..;;0,700;;0,725;;0,744;;0,754;;0,761;;0,764;;8;;..;;..;;0,68;;..;
96;Algeria;0,595;;0,651;;0,718;;0,737;;0,742;;0,755;;0,761;;0,763;;3;;0,90;;0,98;;0,47;;0,76;
97;Cuba;0,687;;0,697;;0,783;;0,769;;0,762;;0,745;;0,764;;0,762;;-16;;0,14;;1,17;;-0,21;;0,31;
98;Dominica;..;;0,721;;0,747;;0,741;;0,753;;0,749;;0,759;;0,761;;0;;..;;0,35;;0,14;;..;
99;Paraguay;0,607;;0,664;;0,709;;0,737;;0,742;;0,723;;0,747;;0,756;;0;;0,90;;0,66;;0,49;;0,67;
100;Egypt;0,572;;0,639;;0,677;;0,706;;0,736;;0,738;;0,751;;0,754;;15;;1,11;;0,58;;0,83;;0,84;
100;Jordan;0,619;;0,672;;0,732;;0,743;;0,743;;0,736;;0,751;;0,754;;-4;;0,82;;0,86;;0,23;;0,60;
102;Lebanon;..;;..;;0,750;;0,763;;0,750;;0,733;;0,755;;0,752;;-12;;..;;..;;0,02;;..;
