country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban
EGY,2023,69.2219638789461,3.76082992553711,95.9217069393801,84.474862198776,331741.0,359372.0,12.0,93.8413993972316,12.0,3456.78968456253,115.059291777588,24.7990758719001,21.004,1.55350808977127,65617760.0,16.1,100.0,100.0,100.0
ERI,2023,90.29997253417967,2.12700009346008,89.7312469482422,44.0441284179688,95607.0,83559.0,8.0,61.2794189453125,8.0,688.68165957684,28.638732049164,19.5382281454081,28.544,2.00245212331037,2266289.0,25.5,54.4,37.1,77.1
ESP,2023,94.6451658484973,4.58553981781006,103.002769470215,118.361709594727,17903.0,17903.0,10.0,99.5605087280273,10.0,33493.2225409111,96.7543757482028,6.24520480258481,6.7,0.308487811770343,9608377.0,2.6,100.0,100.0,100.0
EST,2023,99.868209606531,5.20733976364136,98.3381576538086,108.442070007324,1120.0,1144.0,12.0,96.8391036987305,9.0,30264.0064885057,32.0684764802247,8.6352827532792,8.0,0.939168908575805,401809.0,1.6,100.0,100.0,100.0
ETH,2023,31.26757049560547,2.9272447768927,83.7319745881618,33.9114221981431,2409915.0,2014038.0,8.0,55.0561499631858,8.0,1055.81091592527,114.037952012,32.9130722654676,31.903,2.18615406483416,99017129.0,35.7,55.4,43.6,94.7
FIN,2023,100.0,6.37603998184204,99.1151733398438,142.861724853516,2800.0,2914.0,12.0,98.9240798950195,11.0,52834.2916752703,18.3705454665088,3.49431236152013,7.8,-0.684405590387536,1451468.0,1.8,100.0,100.0,100.0
FJI,2023,91.18470764160156,4.24679790890603,111.9366094795,98.540177642079,2673.0,455.0,12.0,116.716614720691,0.0,5926.20586394763,50.5826491516147,2.75299054492405,17.996,-0.620762281413788,382532.0,23.8,99.3,98.3,100.0
FRA,2023,100.0,5.32435989379883,103.265121459961,103.962417602539,523.0,6482.0,12.0,92.9303665161133,10.0,44700.1384177544,126.704679469339,4.99026368272813,9.9,0.175046060330279,14508304.0,3.4,100.0,100.0,100.0
FSM,2023,89.1974183919142,11.5591397849462,82.1547657350301,87.2520217895508,1593.99985790253,1852.00005054474,8.0,87.3766475464502,8.0,3919.64307910859,160.9,5.65470723109507,22.299,0.43131698641518,87363.0,20.8,86.9,83.7,97.3
GAB,2023,90.29997253417967,2.31594287726056,100.171603677222,70.2639966402203,38521.0,38917.0,10.0,67.7138366699219,10.0,7802.82433276138,9.64329956921644,-9.95804918444074,27.666,-2.62469294157141,207788.0,26.5,94.1,29.0,99.2
GBR,2023,100.0,5.90682983398438,102.555801391602,112.403617858887,6971.0,9302.0,13.0,101.423362731934,11.0,49944.4702124201,283.106683751498,6.34491419212233,10.023,0.802698364719514,11533920.0,4.0,100.0,100.0,100.0
GEO,2023,99.37139892578124,3.70918011665344,100.887260863464,103.183588288651,8143.0,8304.0,12.0,106.243340748079,9.0,8283.66960652261,65.0037265124742,2.94809953907664,11.494,-1.79306266899536,1458241.0,8.0,100.0,100.0,100.0
GHA,2023,64.55709075927734,2.90963831638452,98.2318953247047,77.8168696801948,427902.0,427311.0,9.0,93.4155248289227,9.0,2383.90410483418,148.49676310689,40.1057981965589,26.31,0.597419010051782,14255974.0,28.2,89.5,77.8,97.5
GIB,2023,90.29997253417967,4.071789635643736,103.557022368904,74.349556167738,386.0,452.0,13.0,107.708779443255,12.0,7424.75821321022,3847.1,5.28960958581624,12.07,0.40070969686677604,0.0,13.3,100.0,100.0,100.0
GIN,2023,18.59000015258789,1.72470879088585,100.474517822266,38.5548782348633,217989.0,90958.0,6.0,59.8791389465332,6.0,1555.49375806861,58.6255412664822,6.09250536857687,33.848,1.81153958670864,8982471.0,61.5,51.1,25.7,92.5
GMB,2023,46.39799880981445,2.80838156544977,98.7359670428779,107.027125590442,27969.0,53459.0,9.0,80.1995474182267,9.0,883.024111719809,266.5854743083,13.7191839595177,30.429,0.888360801659817,976565.0,33.8,66.9,35.3,85.3
GNB,2023,31.65266990661621,2.01027011871338,113.436782836914,34.3966407775879,38662.0,36435.0,12.0,62.643440246582,9.0,988.087886357022,76.5767780938834,5.13638471744318,30.037,1.45863100806321,1171580.0,43.1,40.5,20.7,64.3
GNQ,2023,90.29997253417967,2.18797993659973,47.5486488342285,17.7594795227051,62954.0,65892.0,6.0,32.635799407959,6.0,6677.793435386,65.8662745098039,-7.64752019845844,29.604,1.58941515773627,533405.0,49.1,66.9,2.4,89.0
GRC,2023,97.5472145099617,3.37547993659973,102.020217895508,105.191741943359,12106.0,12031.0,12.0,99.9148864746094,9.0,23343.7103964562,80.7260512024826,6.26971104079917,6.8,-1.33505082392628,2208999.0,3.2,100.0,100.0,100.0
GRD,2023,97.1626006188337,5.12544845968893,99.2608147837043,100.989177237286,271.0,68.0,12.0,95.7410562180579,12.0,11414.4781691181,344.355882352941,4.45559777901883,11.711,-0.0026884611250113,74391.0,16.7,94.4,100.0,100.0
GTM,2023,63.1,3.10633993148804,102.032228557129,47.3762534803949,97975.0,99979.0,12.0,85.8256653187583,9.0,5758.32760847852,169.138092571855,6.54004024227952,20.809,0.754285279799409,8045936.0,17.9,100.0,100.0,100.0
GUY,2023,84.0653076171875,4.45058012008667,94.4460553841055,84.4850463867188,8815.0,8547.0,6.0,104.342664333917,6.0,20473.7002190617,3.91376811594203,-14.0864299215933,20.287,0.556629193825565,607657.0,23.8,98.9,91.6,98.9
HKG,2023,100.0,3.80327010154724,103.028312901343,106.185208398621,5014.0,2452.0,12.0,105.857142857143,9.0,50562.3633144379,7177.2380952381,2.892947554779,4.4,-172.328531479259,0.0,13.3,100.0,100.0,100.0
HND,2023,62.43230819702148,4.54962037172702,82.5478821305927,54.5012702941895,145351.0,164164.0,11.0,73.4535986087997,11.0,3227.45762509776,95.1367503798373,6.04752279899292,21.963,0.577575397928875,4437494.0,13.3,95.6,88.8,100.0
HRV,2023,99.4704870793649,4.0916600227356,101.157791137695,105.025161743164,1781.0,2073.0,8.0,100.516410827637,8.0,22184.2279304842,68.9722301644031,12.8711445045919,8.3,-0.467432383733313,1650280.0,3.9,100.0,100.0,100.0
HTI,2023,46.36672973632813,0.964648012977964,183.989440244666,17.1656093597412,257455.0,242980.0,6.0,52.6182098388672,6.0,1705.75808460999,422.256821480406,31.5119631448975,22.2,-0.146189775429166,5300872.0,40.3,51.3,2.9,84.0
HUN,2023,99.7482633639565,3.81258988380432,103.570762634277,105.419059753418,3789.0,4196.0,12.0,96.809211730957,10.0,22230.6277875187,105.108327854482,15.1060960246171,9.1,-0.583635146056761,2849618.0,3.2,100.0,100.0,100.0
IDN,2023,83.8310823174419,1.27517088245674,98.1566275726904,96.0002120295081,1329649.75,859416.6953125,12.0,99.9521715181012,9.0,4876.30774512252,148.57692229227,1.53013198443368,15.941,-0.637335056265888,117768206.0,17.0,99.4,98.6,100.0
IND,2023,68.12999725341797,4.09865814174589,113.164575709104,79.3250397483992,381512.663945101,167190.798423521,8.0,93.8187311671038,8.0,2530.12031278204,483.679010086809,2.59194954513768,16.146,0.403749149910514,933771782.0,24.5,99.5,99.2,100.0
IRL,2023,99.7002170808258,2.904629945755,99.6199417114258,133.150497436523,17.0,778.0,10.0,96.4699478149414,10.0,106818.917130804,77.0445637973581,3.39258154333999,10.3,1.25567737298501,1906034.0,3.4,100.0,100.0,100.0
IRN,2023,86.882754736708,2.82443290958712,104.680130004883,85.1913986206055,60444.0,91080.0,9.0,96.345588684082,9.0,5049.29931642754,55.8451198767334,37.2937420604748,12.951,-0.250452491471166,21133614.0,10.7,100.0,100.0,100.0
IRQ,2023,57.64588928222656,3.55150008201599,104.57022857666,50.5742416381836,381552.0,117141.0,12.0,63.6029281616211,6.0,5965.31835077761,103.826155759795,-15.5347237850081,25.728,2.2515173398111,13581587.0,20.8,100.0,100.0,100.0
ISL,2023,100.0,7.28923988342285,98.2218322753906,108.911361694336,284.0,315.0,10.0,98.6200180053711,10.0,82138.7892973557,3.90111078052167,5.28960958581624,11.0,1.41098965290385,22554.0,1.9,100.0,100.0,100.0
ISR,2023,96.4078681592566,5.93496990203857,96.4853820800781,96.4655990600586,19239.0,22168.0,12.0,96.2661972045898,12.0,52003.7200729997,455.129390018484,4.54962642927481,18.6,2.87527016519118,836283.0,2.7,100.0,100.0,100.0
ITA,2023,97.9824830570857,4.0698299407959,103.566017150879,100.678756713867,26661.0,25456.0,8.0,97.3619613647461,12.0,39277.0838783918,199.490988096848,6.19726462122874,6.4,-0.227611021621257,17967681.0,2.3,100.0,100.0,100.0
JAM,2023,99.0544601989279,5.65453693979426,87.7375451717876,85.4353132628153,13101.0,14503.0,6.0,81.0696353400619,6.0,7542.40084275345,262.214773776547,11.3335050417508,11.623,-1.08561712535481,1179902.0,18.3,97.7,96.5,98.6
JOR,2023,87.91999816894531,3.51486315596325,98.2994873290949,91.9696843781763,12698.0,18039.0,12.0,97.1706496556539,10.0,4466.08314208575,128.828670856139,1.82791592575342,20.611,-2.1083199279671,837095.0,12.2,100.0,100.0,100.0
JPN,2023,99.58999633789062,3.33563995361328,102.496421813965,102.344436645508,15227.0,15910.06148859165,9.0,94.6245816835048,9.0,33836.1756271617,341.54455749932,4.06819848886964,6.0,-1.80531672569239,9858369.0,1.8,100.0,100.0,100.0
KAZ,2023,99.87477111816406,4.84984016418457,98.9804493873135,95.2393054334066,52454.0,40756.0,11.0,103.073237596239,9.0,12879.4275257974,7.53050487091158,9.52224688275005,20.138,0.651815284378437,7775026.0,7.6,100.0,100.0,100.0
KEN,2023,78.26022338867188,3.96229304413263,98.2483475806861,84.3083880306996,17499.0,386718.0,12.0,102.200240064297,12.0,1942.58802756191,95.2681371231706,5.41580564449526,27.106,1.68756379194319,37833597.0,34.7,76.2,67.9,96.0
KGZ,2023,98.71764373779295,6.82694680798777,98.0963360523919,91.2655243671618,9887.0,11525.0,11.0,96.1198727607567,9.0,2138.22210211478,37.0164233576642,19.8591989518512,20.6,1.76019347653267,4635680.0,14.9,100.0,100.0,100.0
KHM,2023,49.0053380947329,2.1809128340295,107.039014463223,56.7864734981041,84300.8250935406,75614.78356285,9.0,87.630151233724,0.0,2429.74853452838,98.7076818490823,1.01760752524498,20.752,0.855523546242003,10344718.0,20.3,95.0,93.4,99.5
