country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_lower_secondary_schools_electricity,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_primary_schools_internet,edu_primary_schools_electricity,edu_secondary_schools_internet,edu_upper_secondary_schools_electricity,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,des_hdi,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban,elec_electricity_consumption,elec_gdp_per_unit_energy_use
CUB,2023,,,99.3281733831044,95.5986574273359,100.0,11027.0,13542.0,12.0,93.5789089043173,35.51709929954676,100.0,73.03579711914062,100.0,9.0,,106.165038535645,33.5551619344254,8.706,-0.450406369910594,2520700.0,6.6,0.762,100.0,100.0,100.0,,
CUW,2023,,5.30074159005788,109.168144897769,123.429739994157,,165.0,201.0,,,,,,,12.0,21217.8110321785,350.900900900901,2.40355185282874,7.5,0.785739914387794,13288.0,,,100.0,100.0,100.0,,
CYM,2023,,1.57024002075195,101.441241685144,86.0370923044127,100.0,,,12.0,102.59067357513,100.0,100.0,100.0,100.0,11.0,99143.5180243123,304.325,2.74928086144881,11.838,,0.0,,,100.0,100.0,100.0,,
CYP,2023,97.1161650358433,,98.5918273925781,102.400848388672,,,,12.0,98.4943389892578,,,,,9.0,36623.69140625,145.560173160173,5.60170328445425,10.799,1.00316991861147,448227.0,2.9,0.913,100.0,100.0,100.0,3841.70423858864,20.840649392174
CZE,2023,99.8862949448944,,99.699089050293,97.6154174804688,,2259.0,2441.0,13.0,98.7293701171875,,,,,9.0,31761.5944102491,140.785547662605,8.59789006156055,8.4,1.64135444268718,2962055.0,2.1,,100.0,100.0,100.0,5965.3672178366,13.5519218995184
DEU,2023,100.0,,102.190689086914,100.603057861328,100.0,,,13.0,99.2837371826172,,100.0,,100.0,13.0,54776.7668235491,240.110817617262,6.6911238945853,8.3,-0.511028232957021,15072134.0,3.1,0.959,100.0,100.0,100.0,5903.70258855688,21.5283947281842
DJI,2023,,,,,95.1219482421875,,,12.0,,43.05556106567383,81.48148345947266,83.57142639160156,91.37931060791016,10.0,3381.29779710722,49.7387402933563,2.44653971370865,20.769,0.541494736981149,313130.0,44.4,,65.2,37.0,74.6,,
DMA,2023,,4.69423746286593,99.0721649484536,102.585807800293,100.0,173.0,57.0,12.0,100.958076477051,100.0,100.0,100.0,100.0,12.0,9912.96212766668,88.68,2.08922149000234,11.09,-2.05325567358659,17884.0,33.1,0.761,100.0,100.0,100.0,,
DNK,2023,100.0,,99.8698883056641,126.98078918457,,1646.0,2061.0,10.0,99.2550430297852,,,,,10.0,68043.5466971243,148.6738,-2.12250636567327,9.7,-0.686564529892477,680769.0,3.0,0.962,100.0,100.0,100.0,5878.13723736126,27.9433045091483
DOM,2023,75.7,3.7606477375256,101.644848757662,75.4805556926418,95.08662311843229,27423.0,29581.0,12.0,91.6880720478921,52.68505079825835,90.38131679641114,68.65135955810547,92.26277372262771,12.0,10630.431743829,235.098143035751,5.7871768273554,17.931,1.11757722012838,3132211.0,28.4,,99.6,98.2,100.0,,
DZA,2023,,5.61015717726636,105.840748480875,101.264892578125,99.96800994873048,,,12.0,97.5415729665837,59.17068562621191,99.7862079252225,89.81957558193886,99.95500562429696,10.0,5370.477235078,19.3825602290762,1.00153139964416,19.625,-0.666884117992948,11664402.0,19.7,0.763,100.0,100.0,100.0,1827.95251014644,10.0832662021625
ECU,2023,83.7,3.89365005493164,97.2490097236115,92.8118025876465,91.0993952550783,28201.0,57889.0,12.0,100.199679503356,43.17330127978505,83.9072332602701,74.00872802734375,93.81944444444444,12.0,6737.84748379638,72.3952448059269,2.28375927738441,15.033,0.762426990987386,6629118.0,11.1,0.777,98.7,95.5,100.0,,
EGY,2023,69.2219638789461,,95.9217069393801,84.474862198776,82.9194669096708,331741.0,359372.0,12.0,93.8413993972316,30.41058961775074,,45.48861343326607,60.93780655287424,12.0,3456.78968456253,115.059291777588,24.7990758719001,21.004,1.55350808977127,65617760.0,16.1,0.754,100.0,100.0,100.0,1492.89603600873,17.9787572578674
ERI,2023,,,,,,,,8.0,,,,,,8.0,,28.638732049164,,28.544,2.00245212331037,2266289.0,25.5,0.503,54.4,37.1,77.1,,
ESP,2023,94.6451658484973,,103.002769470215,118.361709594727,,17903.0,17903.0,10.0,99.5605087280273,,,,,10.0,33493.2225409111,96.7543757482028,6.24520480258481,6.7,0.308487811770343,9608377.0,2.6,0.918,100.0,100.0,100.0,5118.31845471707,20.6314799796651
EST,2023,99.868209606531,,98.3381576538086,108.442070007324,,1120.0,1144.0,12.0,96.8391036987305,,,,,9.0,30264.0064885057,32.0684764802247,8.6352827532792,8.0,0.939168908575805,401809.0,1.6,0.905,100.0,100.0,100.0,5722.16311047475,13.3646357254717
ETH,2023,,2.9272447768927,83.7319745881618,,,2409915.0,2014038.0,8.0,55.0561499631858,,27.42705999838061,,,8.0,1055.81091592527,114.037952012,32.9130722654676,31.903,2.18615406483416,99017129.0,35.7,0.497,55.4,43.6,94.7,,
FIN,2023,100.0,,99.1151733398438,142.861724853516,,2800.0,2914.0,12.0,98.9240798950195,,,,,11.0,52834.2916752703,18.3705454665088,3.49431236152013,7.8,-0.684405590387536,1451468.0,1.8,0.948,100.0,100.0,100.0,14391.3468534867,9.58824237150274
FJI,2023,,4.24679790890603,111.9366094795,98.540177642079,,,,,116.716614720691,38.61788617886179,92.00542005420054,,98.29545454545456,0.0,5926.20586394763,50.5826491516147,2.75299054492405,17.996,-0.620762281413788,382532.0,23.8,0.731,99.3,98.3,100.0,,
FRA,2023,100.0,,103.265121459961,103.962417602539,,,,12.0,,,,,,10.0,44700.1384177544,126.704679469339,4.99026368272813,9.9,0.175046060330279,14508304.0,3.4,0.92,100.0,100.0,100.0,6422.99225332454,17.3133304775592
FSM,2023,,,82.1547657350301,,82.96296296296296,1593.99985790253,1852.00005054474,8.0,87.3766475464502,7.638889789581299,81.94444444444444,9.195402298850574,92.3076923076923,8.0,3919.64307910859,160.9,5.65470723109507,22.299,0.43131698641518,87363.0,20.8,,86.9,83.7,97.3,,
GAB,2023,,2.31594287726056,,,,,,10.0,,,,,,10.0,7802.82433276138,9.64329956921644,-9.95804918444074,27.666,-2.62469294157141,207788.0,26.5,0.733,94.1,29.0,99.2,,
GBR,2023,,,102.555801391602,112.403617858887,,,,13.0,101.423362731934,,,,,11.0,49944.4702124201,283.106683751498,6.34491419212233,10.023,0.802698364719514,11533920.0,4.0,,100.0,100.0,100.0,4207.95129358173,24.7191547851059
GEO,2023,99.37139892578124,3.70918011665344,100.887260863464,103.183588288651,100.0,8143.0,8304.0,12.0,106.243340748079,100.0,100.0,100.0,100.0,9.0,8283.66960652261,65.0037265124742,2.94809953907664,11.494,-1.79306266899536,1458241.0,8.0,0.844,100.0,100.0,100.0,3382.3327949556,14.7644041569069
GHA,2023,,,,,,,,9.0,,,,,,9.0,2383.90410483418,148.49676310689,40.1057981965589,26.31,0.597419010051782,14255974.0,28.2,0.628,89.5,77.8,97.5,,
GIB,2023,,,103.557022368904,74.349556167738,100.0,,,13.0,107.708779443255,100.0,100.0,100.0,100.0,12.0,,3847.1,,12.07,,0.0,,,100.0,100.0,100.0,,
