dataset,tipo_analisis,grupo,variable,valor
desarrollo,nulos_absolutos_por_pais,AUT,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,AUT,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,AUT,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,AUT,hdi,57
desarrollo,nulos_absolutos_por_pais,AUT,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,AUT,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,AUT,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,AUT,tasa_pobreza,37
desarrollo,nulos_absolutos_por_pais,AUT,year,0
desarrollo,nulos_absolutos_por_pais,AZE,country_code,0
desarrollo,nulos_absolutos_por_pais,AZE,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,AZE,deflactor_inflacion_gdp,31
desarrollo,nulos_absolutos_por_pais,AZE,densidad_poblacion,33
desarrollo,nulos_absolutos_por_pais,AZE,gdp_per_capita,30
desarrollo,nulos_absolutos_por_pais,AZE,hdi,58
desarrollo,nulos_absolutos_por_pais,AZE,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,AZE,tasa_mortalidad_infantil,23
desarrollo,nulos_absolutos_por_pais,AZE,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,AZE,tasa_pobreza,59
desarrollo,nulos_absolutos_por_pais,AZE,year,0
desarrollo,nulos_absolutos_por_pais,BDI,country_code,0
desarrollo,nulos_absolutos_por_pais,BDI,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BDI,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BDI,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BDI,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BDI,hdi,57
desarrollo,nulos_absolutos_por_pais,BDI,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BDI,tasa_mortalidad_infantil,6
desarrollo,nulos_absolutos_por_pais,BDI,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BDI,tasa_pobreza,60
desarrollo,nulos_absolutos_por_pais,BDI,year,0
desarrollo,nulos_absolutos_por_pais,BEL,country_code,0
desarrollo,nulos_absolutos_por_pais,BEL,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BEL,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BEL,densidad_poblacion,41
desarrollo,nulos_absolutos_por_pais,BEL,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BEL,hdi,57
desarrollo,nulos_absolutos_por_pais,BEL,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BEL,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BEL,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BEL,tasa_pobreza,38
desarrollo,nulos_absolutos_por_pais,BEL,year,0
desarrollo,nulos_absolutos_por_pais,BEN,country_code,0
desarrollo,nulos_absolutos_por_pais,BEN,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BEN,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BEN,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BEN,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BEN,hdi,57
desarrollo,nulos_absolutos_por_pais,BEN,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BEN,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BEN,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BEN,tasa_pobreza,60
desarrollo,nulos_absolutos_por_pais,BEN,year,0
desarrollo,nulos_absolutos_por_pais,BFA,country_code,0
desarrollo,nulos_absolutos_por_pais,BFA,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BFA,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BFA,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BFA,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BFA,hdi,59
desarrollo,nulos_absolutos_por_pais,BFA,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BFA,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BFA,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BFA,tasa_pobreza,58
desarrollo,nulos_absolutos_por_pais,BFA,year,0
desarrollo,nulos_absolutos_por_pais,BGD,country_code,0
desarrollo,nulos_absolutos_por_pais,BGD,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BGD,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BGD,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BGD,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BGD,hdi,57
desarrollo,nulos_absolutos_por_pais,BGD,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BGD,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BGD,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BGD,tasa_pobreza,55
desarrollo,nulos_absolutos_por_pais,BGD,year,0
desarrollo,nulos_absolutos_por_pais,BGR,country_code,0
desarrollo,nulos_absolutos_por_pais,BGR,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BGR,deflactor_inflacion_gdp,21
desarrollo,nulos_absolutos_por_pais,BGR,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BGR,gdp_per_capita,20
desarrollo,nulos_absolutos_por_pais,BGR,hdi,57
desarrollo,nulos_absolutos_por_pais,BGR,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BGR,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BGR,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BGR,tasa_pobreza,40
desarrollo,nulos_absolutos_por_pais,BGR,year,0
desarrollo,nulos_absolutos_por_pais,BHR,country_code,0
desarrollo,nulos_absolutos_por_pais,BHR,crecimiento_poblacion_rural,16
desarrollo,nulos_absolutos_por_pais,BHR,deflactor_inflacion_gdp,11
desarrollo,nulos_absolutos_por_pais,BHR,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BHR,gdp_per_capita,10
desarrollo,nulos_absolutos_por_pais,BHR,hdi,57
desarrollo,nulos_absolutos_por_pais,BHR,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BHR,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BHR,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BHR,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,BHR,year,0
desarrollo,nulos_absolutos_por_pais,BHS,country_code,0
desarrollo,nulos_absolutos_por_pais,BHS,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BHS,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BHS,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BHS,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BHS,hdi,57
desarrollo,nulos_absolutos_por_pais,BHS,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BHS,tasa_mortalidad_infantil,9
desarrollo,nulos_absolutos_por_pais,BHS,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BHS,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,BHS,year,0
desarrollo,nulos_absolutos_por_pais,BIH,country_code,0
desarrollo,nulos_absolutos_por_pais,BIH,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BIH,deflactor_inflacion_gdp,31
desarrollo,nulos_absolutos_por_pais,BIH,densidad_poblacion,33
desarrollo,nulos_absolutos_por_pais,BIH,gdp_per_capita,30
desarrollo,nulos_absolutos_por_pais,BIH,hdi,58
desarrollo,nulos_absolutos_por_pais,BIH,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BIH,tasa_mortalidad_infantil,25
desarrollo,nulos_absolutos_por_pais,BIH,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BIH,tasa_pobreza,61
desarrollo,nulos_absolutos_por_pais,BIH,year,0
desarrollo,nulos_absolutos_por_pais,BLR,country_code,0
desarrollo,nulos_absolutos_por_pais,BLR,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BLR,deflactor_inflacion_gdp,31
desarrollo,nulos_absolutos_por_pais,BLR,densidad_poblacion,33
desarrollo,nulos_absolutos_por_pais,BLR,gdp_per_capita,30
desarrollo,nulos_absolutos_por_pais,BLR,hdi,58
desarrollo,nulos_absolutos_por_pais,BLR,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BLR,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BLR,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BLR,tasa_pobreza,40
desarrollo,nulos_absolutos_por_pais,BLR,year,0
desarrollo,nulos_absolutos_por_pais,BLZ,country_code,0
desarrollo,nulos_absolutos_por_pais,BLZ,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BLZ,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BLZ,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BLZ,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BLZ,hdi,57
desarrollo,nulos_absolutos_por_pais,BLZ,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BLZ,tasa_mortalidad_infantil,8
desarrollo,nulos_absolutos_por_pais,BLZ,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BLZ,tasa_pobreza,57
desarrollo,nulos_absolutos_por_pais,BLZ,year,0
desarrollo,nulos_absolutos_por_pais,BMU,country_code,0
desarrollo,nulos_absolutos_por_pais,BMU,crecimiento_poblacion_rural,65
